State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Jammu And Kashmir,Baramula,Uri,Churranda,236652,Panchayat ghar,Batgran Churrunda,45:43.3,Transport/Admin,Panchayat Headquarter,34.04501008,74.0597572
Jammu And Kashmir,Kathua,Billawar,Dadwara,240446,Panchayat Headquarter,Dadwara,45:33.2,Transport/Admin,Panchayat Headquarter,32.57071667,75.53773167
Jammu And Kashmir,Kathua,Basohli,Danna,249170,Bus stand,Preta,26:11.7,Transport/Admin,Bus Stand,32.54032149,75.74123087
Jammu And Kashmir,Poonch,Poonch,Darah  Bagyal,250020,Panchayat ghar,darah bagyal,01:52.2,Transport/Admin,Panchayat Headquarter,33.81371391,74.10341276
Jammu And Kashmir,Rajouri,Kalakote,Dayalah,256072,govt high school dayala,dayala,47:25.4,Education ,High School - Girls,33.23816333,74.37116
Jammu And Kashmir,Kathua,Billawar,Janinu,453587,Bus Stand,Janinu,51:20.7,Transport/Admin,Bus Stand,32.64304132,75.59927055
Jammu And Kashmir,Jammu,Bishnah,Karyal Brahmana,518599,Bus stop near middle school,Karyal brahamana,11:25.7,Transport/Admin,Bus Stand,32.58852966,74.9302494
Jammu And Kashmir,Kathua,Basohli,Khabbal,537283,Bus stand,rehan,46:27.5,Transport/Admin,Bus Stand,32.51539812,75.7961408
Jammu And Kashmir,Kathua,Duggain,Khalnu,542556,khalnu,khalnu,16:29.4,Transport/Admin,Bus Stand,32.73596833,75.50499667
Jammu And Kashmir,Kathua,Bani,Minda,702403,Minda,Minda,04:50.7,Transport/Admin,Bus Stand,32.76839,75.823535
Jammu And Kashmir,Kathua,Billawar,Moh Jattan,708526,Bus Stand,Moh Jattan,59:25.7,Transport/Admin,Bus Stand,32.61240468,75.59577005
Jammu And Kashmir,Doda,Bhaderwah,Pendku,845445,bus stand,pendku,37:20.2,Transport/Admin,Bus Stand,33.03074101,75.66361872
Jammu And Kashmir,Kupwara,Trehgam,Chek,213009,Bus Stop,Check,06:26.4,Transport/Admin,Bus Stand,34.53342457,74.16744855
Jammu And Kashmir,Baramula,Baramulla,Noorbagh,789648,BDO baramulla,noorbagh baramulla,15:56.1,Transport/Admin,Block Headquarter,34.20575484,74.3412051
Jammu And Kashmir,Rajouri,Kalakote,Owdarni,797029,govt primary school,udharni,20:10.9,Education ,High School - General,33.26728,74.35475167
Jammu And Kashmir,Kathua,Lohi Malhar,Ganore,345507,stand for location purpose,ganore,57:15.4,Transport/Admin,Bus Stand,32.69923973,75.69796213
Jammu And Kashmir,Anantnag,Breng,Gowhard,379217,Bus stand Guihard,Bus stand Guihard,34:10.9,Transport/Admin,Bus Stand,33.58332197,75.32639744
Jammu And Kashmir,Baramula,Baramulla,Ushkara,1078265,J&K bank,ushkara baramulla,42:30.2,Transport/Admin,Bank,34.19936158,74.35911287
Jammu And Kashmir,Baramula,Baramulla,Ushkara,1078265,Govt. high school,ushkara baramulla,16:45.6,Education ,High School - General,34.19734653,74.35855086
Jammu And Kashmir,Baramula,Baramulla,Ushkara,1078265,GMC Baramulla,Baramulla,10:03.5,Medical ,Bedded Hospital,34.20518357,74.3638877
Jammu And Kashmir,Baramula,Baramulla,Ushkara,1078265,Beacon House School,ushkara baramulla,32:04.6,Education ,High School - General,34.20176627,74.35704304
Jammu And Kashmir,Kupwara,Sogam,Jandiyal,452392,bus stand,jandiyal,57:02.5,Transport/Admin,Bus Stand,34.48539417,74.46764325
Jammu And Kashmir,Rajouri,Kalakote,Dali,244963,health and wellness,dali,50:47.1,Medical ,Primary Health Centre,33.23089167,74.440715
Jammu And Kashmir,Anantnag,Breng,dammna,246435,Bus stop,Dammna,01:16.9,Transport/Admin,Bus Stand,33.64965667,75.30723167
Jammu And Kashmir,Rajouri,Kalakote,Dangot,248832,P H C,Dangot,10:28.4,Medical ,Primary Health Centre,33.27681005,74.46182907
Jammu And Kashmir,Kupwara,Vawoora,Shumriyal,986974,apna panchayat Ghar,shumriyal,33:37.2,Transport/Admin,Panchayat Headquarter,34.53371749,74.31296903
Jammu And Kashmir,Kupwara,Vawoora,Shumriyal,986974,RURBAN CLUSTER,shumriyal,58:24.5,Agro ,Is Part of Rurban Cluster?,34.53700352,74.31541117
Jammu And Kashmir,Jammu,Bishnah,Atma Pur,52121,Bus stop,Atma pur,12:05.5,Transport/Admin,Bus Stand,32.56938416,74.90485002
Jammu And Kashmir,Doda,Bhagwa,Desa,261629,Bus stand Gai Dessa,Dessa,15:38.0,Transport/Admin,Bus Stand,33.28951346,75.47978863
Jammu And Kashmir,Doda,Bhagwa,Desa,261629,Govt Higher Secondary school Dessa (Gai),Dessa Gai,46:29.9,Education ,Higher Secondary School,33.28937469,75.47997032
Jammu And Kashmir,Doda,Bhagwa,Desa,261629,j k bank Gia Dessa,Gia Dessa,09:20.6,Transport/Admin,Bank,33.28816289,75.4784761
Jammu And Kashmir,Jammu,Dansal,Dhami,269292,Govt.High school school,Dhammi,19:16.8,Education ,High School - General,32.83082868,74.89626101
Jammu And Kashmir,Rajouri,Kalakote,Dhanghar,271771,Govt. Middle School Dhanghar,Panchayat Dhanghar Block Kalakote,03:34.2,Education ,High School - General,33.12198667,74.37540167
Jammu And Kashmir,Udhampur,Majalta,Chiani,220538,Bus Stop,Chiani,50:15.2,Transport/Admin,Bus Stand,32.76002161,75.17693553
Jammu And Kashmir,Udhampur,Majalta,Chiani,220538,Panchayat HQ,Chiani,51:57.5,Transport/Admin,Panchayat Headquarter,32.75826359,75.17837485
Jammu And Kashmir,Baramula,Rafiabad,Chitloora,229566,panchayat head quarter,chitloora,09:45.9,Transport/Admin,Panchayat Headquarter,34.30742667,74.398185
Jammu And Kashmir,Baramula,Rafiabad,Chitloora,229566,MEI secondary school,chitloora,37:00.8,Education ,High School - General,34.30734667,74.39575
Jammu And Kashmir,Baramula,Boniyar,Nowshehra,791165,GOVT ISM DISPENSARY NOWSHARA,NOWSHARA B,27:17.3,Medical ,Community Health Centre,34.15657726,74.22213167
Jammu And Kashmir,Baramula,Boniyar,Nowshehra,791165,High School,Nowshera,23:52.3,Education ,High School - General,34.15581693,74.22267929
Jammu And Kashmir,Baramula,Boniyar,Nowshehra,791165,jk bank,nowshera,23:34.0,Transport/Admin,Bank,34.153368,74.22000266
