State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Tripura,Sepahijala,Kathalia,Damdama Manu Mia para,1388603,Kaichakhola ADC Village,Damdama Kaichakhola Kathalia Sepahijala,25:15.2,Transport/Admin,Panchayat Headquarter,23.42151568,91.30647855
Tripura,Dhalai,Salema,Rakhal Namasudra Para,896487,CONSTRUCTION OF RCC BOXCELL  KHASIAPUNJI,KHASIAPUNJI SALEMA,18:02.8,Agro ,Is Part of Rurban Cluster?,23.98640572,91.79818366
Tripura,West Tripura,Jirania,Mohanpur North,471557,MAKHUMAIKAMI HIGH SCHOOL,Majlishpur Tripura,52:49.1,Education ,High School - General,23.82705,91.40289667
Tripura,South Tripura,Rupaichari,Kejari Mog Para,483174,Manubankul CHC,Dakshin Manu Bankul Tripura,44:22.6,Medical ,Community Health Centre,23.11501833,91.70780167
Tripura,West Tripura,Jirania,Kala Bagan,485561,Petrol Pump,Kola Bagan,01:04.6,Transport/Admin,Fuel Station,23.81361833,91.46527167
Tripura,Sepahijala,Jampaijala,BIDHICHANDRA PARA,1389003,Golarai Bari Bazar,Golirai Bari Jampuijala Sepahijala,29:40.2,Agro ,Mandi (Notified),23.60856333,91.41531333
Tripura,West Tripura,Mandai,KITTING SHARDAR PARA,1389256,Chargaria ADC Village,Chargaria,26:19.3,Transport/Admin,Panchayat Headquarter,23.84924195,91.48511633
Tripura,West Tripura,Mandai,MAHANTA CHOWDHURY PARA,1389290,Thaiplokphang ADC Village ,Mahanta Chowdhury para,41:56.9,Transport/Admin,Panchayat Headquarter,23.87942544,91.48801999
Tripura,West Tripura,Hezamara,Pun Khiroy Sarder Para,820146,West Takma Kari ADC Village office,"Takma Kari, Bat tala",57:58.8,Transport/Admin,Panchayat Headquarter,23.9585601,91.44399918
Tripura,South Tripura,Poyangbari,Muslim Para,1337379,Subhash Nagar GP Office,Subhashnagar,24:48.8,Transport/Admin,Panchayat Headquarter,23.02024523,91.55791239
Tripura,South Tripura,Poyangbari,Muslim Para,1337379,Border Haat Bazaar,Krishnagar near Muslim paraa,20:42.8,Agro ,Mandi (Notified),23.01088828,91.54800853
Tripura,Gomati,Tepania,Madhya Para Colony,1337528,Barabaiya Panchayat Office,DAKSHIN Samatal para,03:40.3,Transport/Admin,Panchayat Headquarter,23.56262158,91.43237018
Tripura,South Tripura,Bharat chandranagar,Manikanchan Para,1337698,HOLY SPIRIT SCHOOL,Uttar Bharatchandranagar Tripura,38:52.4,Education ,High School - General,23.28183654,91.45845504
Tripura,South Tripura,Jolaibari,Jaganath Para,1337766,BRINTAK SIKSHA NIKETAN HIGH SCHOOL,"Baikhora Muhuripur Rd
Baikhora Tripura",14:13.9,Education ,High School - General,23.26886411,91.56858359
Tripura,South Tripura,Jolaibari,Ramthakur Para,1337779,State Bank of India,NH8 Jolaibari Tripura,24:46.2,Transport/Admin,Bank,23.21650493,91.6145352
Tripura,South Tripura,Jolaibari,Ramthakur Para,1337779,South Jolaibari Pancayet,Jolaibari South Tripura,23:49.1,Transport/Admin,Panchayat Headquarter,23.21381516,91.61418991
Tripura,North Tripura,Laljuri,Kanchanpur  ,1337881,SANTI MANSION INSTITUTE,Kanchanpur Tripura,06:40.4,Education ,High School - General,24.04171667,92.19956833
Tripura,North Tripura,Laljuri,Kanchanpur  ,1337881,Kanchanpur Subdivision Hospital,Kanchanpur Tripura,18:34.0,Medical ,Bedded Hospital,24.03977167,92.19871333
Tripura,North Tripura,Laljuri,Kanchanpur  ,1337881,Kanchanpur motorstand,kanchanpur,11:19.3,Transport/Admin,Bus Stand,24.04172333,92.20134333
Tripura,North Tripura,Laljuri,Kanchanpur  ,1337881,State Co Operative Bank,Kanchanpur Tripura,12:39.8,Transport/Admin,Bank,24.04114,92.20142333
